"date","deaths"
2017-04-28,6
2017-04-29,-26
2017-04-30,32
2017-05-01,-7
2017-05-02,-14
2017-05-03,-17
2017-05-04,5
2017-05-05,-28
2017-05-06,11
2017-05-07,42
2017-05-08,-4
2017-05-09,-14
2017-05-10,14
2017-05-11,-26
2017-05-12,-18
2017-05-13,54
2017-05-14,-46
2017-05-15,-12
2017-05-16,-55
2017-05-17,-6
2017-05-18,22
2017-05-19,24
2017-05-20,38
2017-05-21,-3
2017-05-22,-2
2017-05-23,-55
2017-05-24,-22
2017-05-25,-28
2017-05-26,12
2017-05-27,-8
2017-05-28,1
2017-05-29,-25
2017-05-30,-3
2017-05-31,-3
2017-06-01,32
2017-06-02,-59
2017-06-03,22
2017-06-04,6
2017-06-05,9
2017-06-06,53
2017-06-07,-20
2017-06-08,4
2017-06-09,57
2017-06-10,40
2017-06-11,24
2017-06-12,43
2017-06-13,-7
2017-06-14,3
2017-06-15,-44
2017-06-16,-12
2017-06-17,-30
2017-06-18,41
2017-06-19,14
2017-06-20,-10
2017-06-21,-25
2017-06-22,-54
2017-06-23,10
2017-06-24,-5
2017-06-25,-14
2017-06-26,-32
2017-06-27,-70
2017-06-28,19
2017-06-29,11
2017-06-30,-54
2017-07-01,-39
2017-07-02,46
2017-07-03,-11
2017-07-04,-12
2017-07-05,-4
2017-07-06,3
2017-07-07,40
2017-07-08,4
2017-07-09,0
2017-07-10,-36
2017-07-11,11
2017-07-12,-26
2017-07-13,-4
2017-07-14,-1
2017-07-15,28
2017-07-16,28
2017-07-17,-21
2017-07-18,-26
2017-07-19,-1
2017-07-20,-41
2017-07-21,-41
2017-07-22,-24
2017-07-23,30
2017-07-24,16
2017-07-25,1
2017-07-26,-21
2017-07-27,14
2017-07-28,-51
2017-07-29,7
2017-07-30,40
2017-07-31,-22
2017-08-01,28
2017-08-02,-13
2017-08-03,22
2017-08-04,30
2017-08-05,36
2017-08-06,-6
2017-08-07,6
2017-08-08,-10
2017-08-09,21
2017-08-10,31
2017-08-11,-3
2017-08-12,13
2017-08-13,-25
2017-08-14,-19
2017-08-15,16
2017-08-16,-13
2017-08-17,-35
2017-08-18,3
2017-08-19,5
2017-08-20,13
2017-08-21,36
2017-08-22,-51
2017-08-23,77
2017-08-24,-18
2017-08-25,4
2017-08-26,-51
2017-08-27,-3
2017-08-28,-12
2017-08-29,-30
2017-08-30,30
2017-08-31,-6
2017-09-01,6
2017-09-02,-30
2017-09-03,-56
2017-09-04,-29
2017-09-05,-16
2017-09-06,-67
2017-09-07,-69
2017-09-08,7
2017-09-09,16
2017-09-10,14
2017-09-11,4
2017-09-12,-18
2017-09-13,30
2017-09-14,2
2017-09-15,14
2017-09-16,15
2017-09-17,-11
2017-09-18,-18
2017-09-19,11
2017-09-20,50
2017-09-21,-33
2017-09-22,29
2017-09-23,1
2017-09-24,12
2017-09-25,8
2017-09-26,-9
2017-09-27,6
2017-09-28,-31
2017-09-29,25
2017-09-30,19
2017-10-01,1
2017-10-02,1
2017-10-03,16
2017-10-04,16
2017-10-05,15
2017-10-06,21
2017-10-07,2
2017-10-08,39
2017-10-09,16
2017-10-10,-11
2017-10-11,26
2017-10-12,9
2017-10-13,-5
2017-10-14,11
2017-10-15,-40
2017-10-16,0
2017-10-17,0
2017-10-18,13
2017-10-19,40
2017-10-20,-15
2017-10-21,-36
2017-10-22,-33
2017-10-23,30
2017-10-24,6
2017-10-25,-25
2017-10-26,-26
2017-10-27,-27
2017-10-28,11
2017-10-29,19
2017-10-30,-20
2017-10-31,1
2017-11-01,-35
2017-11-02,5
2017-11-03,-21
2017-11-04,8
2017-11-05,17
2017-11-06,5
2017-11-07,-11
2017-11-08,10
2017-11-09,22
2017-11-10,15
2017-11-11,17
2017-11-12,-28
2017-11-13,-11
2017-11-14,-17
2017-11-15,-11
2017-11-16,7
2017-11-17,-13
2017-11-18,5
2017-11-19,-19
2017-11-20,-6
2017-11-21,21
2017-11-22,25
2017-11-23,-22
2017-11-24,41
2017-11-25,-52
2017-11-26,-15
2017-11-27,11
2017-11-28,-24
2017-11-29,4
2017-11-30,-11
2017-12-01,28
2017-12-02,-23
2017-12-03,4
2017-12-04,11
2017-12-05,-17
2017-12-06,6
2017-12-07,-2
2017-12-08,-16
2017-12-09,-4
2017-12-10,-4
2017-12-11,34
2017-12-12,4
2017-12-13,-30
2017-12-14,-13
2017-12-15,-3
2017-12-16,20
2017-12-17,42
2017-12-18,-1
2017-12-19,4
2017-12-20,-9
2017-12-21,1
2017-12-22,19
2017-12-23,-9
2017-12-24,4
2017-12-25,17
2017-12-26,0
2017-12-27,0
2017-12-28,9
2017-12-29,-9
2017-12-30,-2
2017-12-31,10
2018-01-01,21
2018-01-02,17
2018-01-03,-8
2018-01-04,37
2018-01-05,8
2018-01-06,7
2018-01-07,-33
2018-01-08,0
2018-01-09,20
2018-01-10,-8
2018-01-11,8
2018-01-12,17
2018-01-13,24
2018-01-14,7
2018-01-15,11
2018-01-16,2
2018-01-17,27
2018-01-18,-3
2018-01-19,1
2018-01-20,8
2018-01-21,0
2018-01-22,29
2018-01-23,-2
2018-01-24,4
2018-01-25,-34
2018-01-26,-6
2018-01-27,28
2018-01-28,0
2018-01-29,-7
2018-01-30,13
2018-01-31,11
2018-02-01,-9
2018-02-02,-12
2018-02-03,16
2018-02-04,-24
2018-02-05,5
2018-02-06,19
2018-02-07,-22
2018-02-08,10
2018-02-09,3
2018-02-10,-1
2018-02-11,-14
2018-02-12,14
2018-02-13,6
2018-02-14,8
2018-02-15,-7
2018-02-16,4
2018-02-17,17
2018-02-18,-40
2018-02-19,37
2018-02-20,4
2018-02-21,2
2018-02-22,2
2018-02-23,5
2018-02-24,-22
2018-02-25,3
2018-02-26,8
2018-02-27,7
2018-02-28,26
2018-03-01,-23
2018-03-02,-15
2018-03-03,14
2018-03-04,-9
2018-03-05,7
2018-03-06,25
2018-03-07,19
2018-03-08,-10
2018-03-09,-27
2018-03-10,-16
2018-03-11,18
2018-03-12,-21
2018-03-13,2
2018-03-14,-3
2018-03-15,20
2018-03-16,-18
2018-03-17,-17
2018-03-18,-13
2018-03-19,-13
2018-03-20,5
2018-03-21,4
2018-03-22,-30
2018-03-23,10
2018-03-24,-4
2018-03-25,-11
2018-03-26,-9
2018-03-27,2
2018-03-28,-8
2018-03-29,27
2018-03-30,-3
2018-03-31,-24
2018-04-01,-16
2018-04-02,0
2018-04-03,16
2018-04-04,-8
2018-04-05,13
2018-04-06,-5
2018-04-07,-11
2018-04-08,11
2018-04-09,0
2018-04-10,-26
2018-04-11,-13
2018-04-12,-1
2018-04-13,-12
2018-04-14,-8
2018-04-15,-8
2018-04-16,-21
2018-04-17,-11
2018-04-18,1
2018-04-19,-29
2018-04-20,-11
2018-04-21,12
2018-04-22,-4
2018-04-23,2
2018-04-24,-4
2018-04-25,18
2018-04-26,-18
2018-04-27,-6
2018-04-28,-18
2018-04-29,-11
2018-04-30,1
2018-05-01,-19
2018-05-02,11
2018-05-03,-3
2018-05-04,0
2018-05-05,-10
2018-05-06,7
2018-05-07,-9
2018-05-08,-15
2018-05-09,-2
2018-05-10,13
2018-05-11,-7
2018-05-12,15
2018-05-13,2
2018-05-14,-17
2018-05-15,-1
2018-05-16,13
2018-05-17,-9
2018-05-18,-29
2018-05-19,-6
2018-05-20,-10
2018-05-21,-4
2018-05-22,-3
2018-05-23,-4
2018-05-24,-1
2018-05-25,8
2018-05-26,-3
2018-05-27,-35
2018-05-28,5
2018-05-29,-7
2018-05-30,-6
2018-05-31,23
2018-06-01,-17
2018-06-02,-22
2018-06-03,7
2018-06-04,-25
2018-06-05,2
2018-06-06,25
2018-06-07,13
2018-06-08,-15
2018-06-09,12
2018-06-10,-20
2018-06-11,3
2018-06-12,11
2018-06-13,-28
2018-06-14,24
2018-06-15,-9
2018-06-16,-14
2018-06-17,-3
2018-06-18,25
2018-06-19,-28
2018-06-20,11
2018-06-21,9
2018-06-22,-13
2018-06-23,-8
2018-06-24,6
2018-06-25,-8
2018-06-26,2
2018-06-27,-22
2018-06-28,-12
2018-06-29,16
2018-06-30,-4
2018-07-01,-25
2018-07-02,7
2018-07-03,-10
2018-07-04,15
2018-07-05,8
2018-07-06,21
2018-07-07,7
2018-07-08,15
2018-07-09,14
2018-07-10,-13
2018-07-11,0
2018-07-12,13
2018-07-13,-16
2018-07-14,12
2018-07-15,-21
2018-07-16,5
2018-07-17,7
2018-07-18,-13
2018-07-19,-20
2018-07-20,-5
2018-07-21,-15
2018-07-22,-6
2018-07-23,-31
2018-07-24,-32
2018-07-25,3
2018-07-26,10
2018-07-27,16
2018-07-28,2
2018-07-29,6
2018-07-30,8
2018-07-31,-15
2018-08-01,2
2018-08-02,-16
2018-08-03,16
2018-08-04,13
2018-08-05,4
2018-08-06,-12
2018-08-07,-6
2018-08-08,15
2018-08-09,-14
2018-08-10,9
2018-08-11,-5
2018-08-12,-1
2018-08-13,19
2018-08-14,-21
2018-08-15,0
2018-08-16,5
2018-08-17,6
2018-08-18,16
2018-08-19,-3
2018-08-20,-3
2018-08-21,20
2018-08-22,2
2018-08-23,-3
2018-08-24,-5
2018-08-25,-9
2018-08-26,-1
2018-08-27,5
2018-08-28,-3
2018-08-29,-15
2018-08-30,41
2018-08-31,25
2018-09-01,18
2018-09-02,5
2018-09-03,1
2018-09-04,-7
2018-09-05,-13
2018-09-06,23
2018-09-07,0
2018-09-08,-11
2018-09-09,-19
2018-09-10,-8
2018-09-11,-4
2018-09-12,-5
2018-09-13,-4
2018-09-14,-13
2018-09-15,-4
2018-09-16,15
2018-09-17,-6
2018-09-18,-5
2018-09-19,9
2018-09-20,-13
2018-09-21,9
2018-09-22,-31
2018-09-23,-3
2018-09-24,-6
2018-09-25,3
2018-09-26,13
2018-09-27,-11
2018-09-28,2
2018-09-29,-14
2018-09-30,-1
2018-10-01,26
2018-10-02,-5
2018-10-03,-4
2018-10-04,0
2018-10-05,-12
2018-10-06,-3
2018-10-07,-1
2018-10-08,-30
2018-10-09,5
2018-10-10,8
2018-10-11,-12
2018-10-12,16
2018-10-13,-2
2018-10-14,-7
2018-10-15,12
2018-10-16,7
2018-10-17,3
2018-10-18,0
2018-10-19,0
2018-10-20,-3
2018-10-21,-7
2018-10-22,-1
2018-10-23,-3
2018-10-24,-12
2018-10-25,-2
2018-10-26,-3
2018-10-27,-3
2018-10-28,-2
2018-10-29,2
2018-10-30,-4
2018-10-31,5
2018-11-01,-11
2018-11-02,-9
2018-11-03,-21
2018-11-04,-8
2018-11-05,-1
2018-11-06,6
2018-11-07,-2
2018-11-08,5
2018-11-09,1
2018-11-10,-21
2018-11-11,11
2018-11-12,-5
2018-11-13,-17
2018-11-14,2
2018-11-15,-2
2018-11-16,-1
2018-11-17,2
2018-11-18,-8
2018-11-19,8
2018-11-20,-5
2018-11-21,-1
2018-11-22,4
2018-11-23,2
2018-11-24,3
2018-11-25,-6
2018-11-26,-6
2018-11-27,-10
2018-11-28,-18
2018-11-29,5
2018-11-30,-21
2018-12-01,-1
2018-12-02,-2
2018-12-03,4
2018-12-04,4
2018-12-05,-26
2018-12-06,1
2018-12-07,0
2018-12-08,-1
2018-12-09,-9
2018-12-10,7
2018-12-11,15
2018-12-12,3
2018-12-13,-13
2018-12-14,4
2018-12-15,-2
2018-12-16,-7
2018-12-17,1
2018-12-18,-20
2018-12-19,-12
2018-12-20,4
2018-12-21,-12
2018-12-22,0
2018-12-23,-7
2018-12-24,13
2018-12-25,-4
2018-12-26,12
2018-12-27,-10
2018-12-28,6
2018-12-29,7
2018-12-30,-9
2018-12-31,-9
2019-01-01,-14
2019-01-02,-3
2019-01-03,7
2019-01-04,-1
2019-01-05,-9
2019-01-06,-4
2019-01-07,-11
2019-01-08,-3
2019-01-09,2
2019-01-10,5
2019-01-11,-11
2019-01-12,-6
2019-01-13,0
2019-01-14,6
2019-01-15,1
2019-01-16,12
2019-01-17,-5
2019-01-18,-1
2019-01-19,15
2019-01-20,1
2019-01-21,9
2019-01-22,-1
2019-01-23,-20
2019-01-24,5
2019-01-25,-4
2019-01-26,-11
2019-01-27,-6
2019-01-28,-5
2019-01-29,-5
2019-01-30,12
2019-01-31,4
2019-02-01,14
2019-02-02,-7
2019-02-03,-11
2019-02-04,6
2019-02-05,7
2019-02-06,-10
2019-02-07,-12
2019-02-08,5
2019-02-09,1
2019-02-10,-6
2019-02-11,-15
2019-02-12,2
2019-02-13,-5
2019-02-14,-1
2019-02-15,-5
2019-02-16,-1
2019-02-17,-3
2019-02-18,-13
2019-02-19,-2
2019-02-20,-1
2019-02-21,-2
2019-02-22,2
2019-02-23,-7
2019-02-24,7
2019-02-25,-19
2019-02-26,2
2019-02-27,3
2019-02-28,-1
2019-03-01,7
2019-03-02,9
2019-03-03,6
2019-03-04,-7
2019-03-05,-6
2019-03-06,-3
2019-03-07,2
2019-03-08,-10
2019-03-09,-10
2019-03-10,-4
2019-03-11,-12
2019-03-12,6
2019-03-13,-10
2019-03-14,-20
2019-03-15,10
2019-03-16,-6
2019-03-17,5
2019-03-18,-8
2019-03-19,4
2019-03-20,-4
2019-03-21,-5
2019-03-22,0
2019-03-23,1
2019-03-24,-6
2019-03-25,-6
2019-03-26,-7
2019-03-27,11
2019-03-28,2
2019-03-29,0
2019-03-30,-8
2019-03-31,6
2019-04-01,6
2019-04-02,0
2019-04-03,3
2019-04-04,13
2019-04-05,-7
2019-04-06,6
2019-04-07,9
2019-04-08,-8
2019-04-09,-1
2019-04-10,5
2019-04-11,-5
2019-04-12,0
2019-04-13,10
2019-04-14,-10
2019-04-15,1
2019-04-16,3
2019-04-17,-3
2019-04-18,1
2019-04-19,-4
2019-04-20,3
2019-04-21,1
2019-04-22,-12
2019-04-23,-2
2019-04-24,6
2019-04-25,-4
2019-04-26,-1
2019-04-27,-3
2019-04-28,6
2019-04-29,-2
2019-04-30,-2
2019-05-01,1
2019-05-02,-23
2019-05-03,-10
2019-05-04,3
2019-05-05,-5
2019-05-06,10
2019-05-07,8
2019-05-08,1
2019-05-09,-12
2019-05-10,0
2019-05-11,4
2019-05-12,5
2019-05-13,1
2019-05-14,-9
2019-05-15,-2
2019-05-16,5
2019-05-17,-9
2019-05-18,-13
2019-05-19,-4
2019-05-20,-7
2019-05-21,-17
2019-05-22,-5
2019-05-23,-3
2019-05-24,-3
2019-05-25,5
2019-05-26,-4
2019-05-27,2
2019-05-28,-10
2019-05-29,-10
2019-05-30,0
2019-05-31,-4
2019-06-01,0
2019-06-02,-3
2019-06-03,-5
2019-06-04,6
2019-06-05,-8
2019-06-06,-11
2019-06-07,1
2019-06-08,4
2019-06-09,-2
2019-06-10,8
2019-06-11,6
2019-06-12,-1
2019-06-13,16
2019-06-14,-5
2019-06-15,1
2019-06-16,-4
2019-06-17,-3
2019-06-18,1
2019-06-19,0
2019-06-20,-5
2019-06-21,3
2019-06-22,2
2019-06-23,6
2019-06-24,-13
2019-06-25,-3
2019-06-26,-7
2019-06-27,-3
2019-06-28,1
2019-06-29,-4
2019-06-30,2
2019-07-01,3
2019-07-02,-4
2019-07-03,-4
2019-07-04,-8
2019-07-05,1
2019-07-06,-2
2019-07-07,-1
2019-07-08,1
2019-07-09,0
2019-07-10,4
2019-07-11,-9
2019-07-12,-5
2019-07-13,-9
2019-07-14,5
2019-07-15,-4
2019-07-16,10
2019-07-17,4
2019-07-18,-7
2019-07-19,-11
2019-07-20,-6
2019-07-21,-1
2019-07-22,-8
2019-07-23,9
2019-07-24,-4
2019-07-25,-6
2019-07-26,4
2019-07-27,-9
2019-07-28,-12
2019-07-29,0
2019-07-30,-3
2019-07-31,3
2019-08-01,6
2019-08-02,12
2019-08-03,11
2019-08-04,0
2019-08-05,0
2019-08-06,-2
2019-08-07,1
2019-08-08,-5
2019-08-09,-4
2019-08-10,-10
2019-08-11,-13
2019-08-12,3
2019-08-13,-3
2019-08-14,-4
2019-08-15,3
2019-08-16,-4
2019-08-17,-3
2019-08-18,-3
2019-08-19,-3
2019-08-20,-4
2019-08-21,1
2019-08-22,-4
2019-08-23,10
2019-08-24,-9
2019-08-25,-3
2019-08-26,-1
2019-08-27,-8
2019-08-28,4
2019-08-29,7
2019-08-30,-1
2019-08-31,-7
2019-09-01,-13
2019-09-02,-2
2019-09-03,4
2019-09-04,-1
2019-09-05,-11
2019-09-06,4
2019-09-07,-2
2019-09-08,-4
2019-09-09,-9
2019-09-10,1
2019-09-11,0
2019-09-12,1
2019-09-13,5
2019-09-14,-4
2019-09-15,-3
2019-09-16,-18
2019-09-17,-9
2019-09-18,2
2019-09-19,-9
2019-09-20,-5
2019-09-21,5
2019-09-22,-2
2019-09-23,-1
2019-09-24,-2
2019-09-25,-1
2019-09-26,-5
2019-09-27,-4
2019-09-28,-1
2019-09-29,-4
2019-09-30,-8
2019-10-01,2
2019-10-02,-1
2019-10-03,2
2019-10-04,7
2019-10-05,-8
2019-10-06,-4
2019-10-07,2
2019-10-08,-5
2019-10-09,-5
2019-10-10,-12
2019-10-11,-8
2019-10-12,2
2019-10-13,0
2019-10-14,0
2019-10-15,-3
2019-10-16,0
2019-10-17,5
2019-10-18,2
2019-10-19,-11
2019-10-20,-8
2019-10-21,-8
2019-10-22,2
2019-10-23,3
2019-10-24,-5
2019-10-25,-11
2019-10-26,-2
2019-10-27,-4
2019-10-28,-1
2019-10-29,-6
2019-10-30,2
2019-10-31,0
2019-11-01,-10
2019-11-02,-7
2019-11-03,2
2019-11-04,-2
2019-11-05,-7
2019-11-06,-6
2019-11-07,-4
2019-11-08,5
2019-11-09,-1
2019-11-10,1
2019-11-11,-5
2019-11-12,-7
2019-11-13,-8
2019-11-14,-1
2019-11-15,1
2019-11-16,2
2019-11-17,-2
2019-11-18,-1
2019-11-19,-2
2019-11-20,-2
2019-11-21,-6
2019-11-22,-3
2019-11-23,1
2019-11-24,-6
2019-11-25,1
2019-11-26,-6
2019-11-27,-1
2019-11-28,9
2019-11-29,-3
2019-11-30,-1
2019-12-01,-2
2019-12-02,-7
2019-12-03,-8
2019-12-04,-3
2019-12-05,-10
2019-12-06,0
2019-12-07,-8
2019-12-08,10
2019-12-09,8
2019-12-10,0
2019-12-11,-3
2019-12-12,-9
2019-12-13,-6
2019-12-14,1
2019-12-15,0
2019-12-16,-6
2019-12-17,4
2019-12-18,-10
2019-12-19,3
2019-12-20,-10
2019-12-21,-7
2019-12-22,-6
2019-12-23,9
2019-12-24,7
2019-12-25,0
2019-12-26,-19
2019-12-27,-5
2019-12-28,-4
2019-12-29,2
2019-12-30,-5
2019-12-31,0
2020-01-01,-7
2020-01-02,-3
2020-01-03,-3
2020-01-04,0
2020-01-05,-5
2020-01-06,-3
2020-01-07,1
2020-01-08,-6
2020-01-09,4
2020-01-10,-2
2020-01-11,-3
2020-01-12,-5
2020-01-13,-4
2020-01-14,-14
2020-01-15,1
2020-01-16,-7
2020-01-17,4
2020-01-18,3
2020-01-19,0
2020-01-20,3
2020-01-21,-8
2020-01-22,0
2020-01-23,1
2020-01-24,-7
2020-01-25,0
2020-01-26,0
2020-01-27,-5
2020-01-28,-1
2020-01-29,-2
2020-01-30,-4
2020-01-31,-2
2020-02-01,-4
2020-02-02,-1
2020-02-03,-6
2020-02-04,-1
2020-02-05,4
2020-02-06,-8
2020-02-07,-3
2020-02-08,1
2020-02-09,3
2020-02-10,-1
2020-02-11,-3
2020-02-12,-12
2020-02-13,-5
2020-02-14,7
2020-02-15,-6
2020-02-16,-1
2020-02-17,2
2020-02-18,-1
2020-02-19,-7
2020-02-20,-3
2020-02-21,4
2020-02-22,-10
2020-02-23,2
2020-02-24,3
2020-02-25,3
2020-02-26,10
2020-02-27,2
2020-02-28,-12
2020-02-29,-14
2020-03-01,-8
2020-03-02,-6
2020-03-03,-5
2020-03-04,2
2020-03-05,1
2020-03-06,7
2020-03-07,-3
2020-03-08,-6
2020-03-09,-5
2020-03-10,-3
2020-03-11,3
2020-03-12,10
2020-03-13,-4
2020-03-14,-8
2020-03-15,-10
2020-03-16,3
2020-03-17,-9
2020-03-18,-8
2020-03-19,1
2020-03-20,-10
2020-03-21,-2
2020-03-22,-3
2020-03-23,6
2020-03-24,7
2020-03-25,-3
2020-03-26,-7
2020-03-27,2
2020-03-28,1
2020-03-29,-6
2020-03-30,-1
2020-03-31,-3
2020-04-01,-1
2020-04-02,5
2020-04-03,20
2020-04-04,9
2020-04-05,25
2020-04-06,35
2020-04-07,37
2020-04-08,55
2020-04-09,53
2020-04-10,62
2020-04-11,76
2020-04-12,84
2020-04-13,92
2020-04-14,109
2020-04-15,116
2020-04-16,115
2020-04-17,131
2020-04-18,141
2020-04-19,151
2020-04-20,158
2020-04-21,168
2020-04-22,178
2020-04-23,190
2020-04-24,198
2020-04-25,217
2020-04-26,232
2020-04-27,243
2020-04-28,257
2020-04-29,271
2020-04-30,288
2020-05-01,315
2020-05-02,328
2020-05-03,340
2020-05-04,357
2020-05-05,370
2020-05-06,392
2020-05-07,411
2020-05-08,417
2020-05-09,447
2020-05-10,475
2020-05-11,481
2020-05-12,512
2020-05-13,517
2020-05-14,547
2020-05-15,562
2020-05-16,582
2020-05-17,614
2020-05-18,625
2020-05-19,662
2020-05-20,678
2020-05-21,694
2020-05-22,728
2020-05-23,738
2020-05-24,765
2020-05-25,793
2020-05-26,810
2020-05-27,832
2020-05-28,864
2020-05-29,880
2020-05-30,904
2020-05-31,932
2020-06-01,965
2020-06-02,980
2020-06-03,979
2020-06-04,1024
2020-06-05,1046
2020-06-06,1073
2020-06-07,1076
2020-06-08,1117
2020-06-09,1125
2020-06-10,1157
2020-06-11,1175
2020-06-12,1200
2020-06-13,1219
2020-06-14,1245
2020-06-15,1257
2020-06-16,1268
2020-06-17,1294
2020-06-18,1317
2020-06-19,1334
2020-06-20,1359
2020-06-21,1351
2020-06-22,1379
2020-06-23,1376
2020-06-24,1413
2020-06-25,1437
2020-06-26,1442
2020-06-27,1466
2020-06-28,1477
2020-06-29,1507
2020-06-30,1515
2020-07-01,1540
2020-07-02,1523
2020-07-03,1541
2020-07-04,1589
2020-07-05,1589
2020-07-06,1596
2020-07-07,1631
2020-07-08,1628
2020-07-09,1657
2020-07-10,1659
2020-07-11,1691
2020-07-12,1685
2020-07-13,1709
2020-07-14,1714
2020-07-15,1746
2020-07-16,1741
2020-07-17,1763
2020-07-18,1781
2020-07-19,1799
2020-07-20,1797
2020-07-21,1797
2020-07-22,1841
2020-07-23,1829
2020-07-24,1879
2020-07-25,1880
